"","x"
"246","ENSG00000011007"
"247","ENSG00000011009"
"248","ENSG00000011021"
"249","ENSG00000011028"
"250","ENSG00000011105"
"251","ENSG00000011114"
"252","ENSG00000011132"
"253","ENSG00000011143"
"254","ENSG00000011198"
"255","ENSG00000011201"
"256","ENSG00000011243"
"257","ENSG00000011258"
"258","ENSG00000011260"
"259","ENSG00000011275"
"260","ENSG00000011295"
"261","ENSG00000011304"
"262","ENSG00000011332"
"263","ENSG00000011347"
"264","ENSG00000011376"
"265","ENSG00000011405"
"266","ENSG00000011422"
"267","ENSG00000011426"
"268","ENSG00000011451"
"269","ENSG00000011454"
"270","ENSG00000011465"
"271","ENSG00000011478"
"272","ENSG00000011485"
"273","ENSG00000011523"
"274","ENSG00000011566"
"275","ENSG00000011590"
"276","ENSG00000011600"
"277","ENSG00000011638"
"278","ENSG00000012048"
"279","ENSG00000012061"
"280","ENSG00000012124"
"281","ENSG00000012171"
"282","ENSG00000012174"
"283","ENSG00000012211"
"284","ENSG00000012232"
"285","ENSG00000012660"
"286","ENSG00000012779"
"287","ENSG00000012822"
"288","ENSG00000012963"
"289","ENSG00000012983"
"290","ENSG00000013016"
"291","ENSG00000013275"
"292","ENSG00000013288"
"293","ENSG00000013297"
"294","ENSG00000013306"
"295","ENSG00000013364"
"296","ENSG00000013374"
"297","ENSG00000013375"
"298","ENSG00000013392"
"299","ENSG00000013441"
"300","ENSG00000013503"
"301","ENSG00000013523"
"302","ENSG00000013561"
"303","ENSG00000013563"
"304","ENSG00000013573"
"305","ENSG00000013583"
"306","ENSG00000013588"
"307","ENSG00000013619"
"308","ENSG00000013725"
"309","ENSG00000013810"
"310","ENSG00000014123"
"311","ENSG00000014138"
"312","ENSG00000014164"
"313","ENSG00000014216"
"314","ENSG00000014257"
"315","ENSG00000014641"
"316","ENSG00000014824"
"317","ENSG00000014914"
"318","ENSG00000014919"
"319","ENSG00000015133"
"320","ENSG00000015153"
"321","ENSG00000015171"
"322","ENSG00000015285"
"323","ENSG00000015475"
"324","ENSG00000015479"
"325","ENSG00000015532"
"326","ENSG00000015568"
"327","ENSG00000015592"
"328","ENSG00000015676"
"329","ENSG00000016391"
"330","ENSG00000016402"
"331","ENSG00000016864"
"332","ENSG00000017260"
"333","ENSG00000017373"
"334","ENSG00000017427"
"335","ENSG00000017483"
"336","ENSG00000017621"
"337","ENSG00000017797"
"338","ENSG00000018189"
"339","ENSG00000018236"
"340","ENSG00000018280"
"341","ENSG00000018408"
"342","ENSG00000018510"
"343","ENSG00000018610"
"344","ENSG00000018625"
"345","ENSG00000018699"
"346","ENSG00000018869"
"347","ENSG00000019102"
"348","ENSG00000019144"
"349","ENSG00000019169"
"350","ENSG00000019186"
"351","ENSG00000019485"
"352","ENSG00000019505"
"353","ENSG00000019549"
"354","ENSG00000019582"
"355","ENSG00000019991"
"356","ENSG00000019995"
"357","ENSG00000020129"
"358","ENSG00000020181"
"359","ENSG00000020256"
"360","ENSG00000020426"
"361","ENSG00000020577"
"362","ENSG00000020633"
"363","ENSG00000020922"
"364","ENSG00000021300"
"365","ENSG00000021355"
"366","ENSG00000021574"
"367","ENSG00000021645"
"368","ENSG00000021762"
"369","ENSG00000021776"
"370","ENSG00000021826"
"371","ENSG00000022267"
"372","ENSG00000022277"
"373","ENSG00000022556"
"374","ENSG00000022567"
"375","ENSG00000022840"
"376","ENSG00000022976"
"377","ENSG00000023041"
"378","ENSG00000023171"
"379","ENSG00000023191"
"380","ENSG00000023228"
"381","ENSG00000023287"
"382","ENSG00000023318"
"383","ENSG00000023330"
"384","ENSG00000023445"
"385","ENSG00000023516"
"386","ENSG00000023572"
"387","ENSG00000023608"
"388","ENSG00000023697"
"389","ENSG00000023734"
"390","ENSG00000023839"
"391","ENSG00000023892"
"392","ENSG00000023902"
"393","ENSG00000023909"
"394","ENSG00000024048"
"395","ENSG00000024422"
"396","ENSG00000024526"
"397","ENSG00000024862"
"398","ENSG00000025039"
"399","ENSG00000025156"
"400","ENSG00000025293"
"401","ENSG00000025423"
"402","ENSG00000025434"
"403","ENSG00000025708"
"404","ENSG00000025770"
"405","ENSG00000025772"
"406","ENSG00000025796"
"407","ENSG00000025800"
"408","ENSG00000026025"
"409","ENSG00000026036"
"410","ENSG00000026103"
"411","ENSG00000026297"
"412","ENSG00000026508"
"413","ENSG00000026559"
"414","ENSG00000026652"
"415","ENSG00000026751"
"416","ENSG00000026950"
"417","ENSG00000027001"
"418","ENSG00000027075"
"419","ENSG00000027644"
"420","ENSG00000027697"
"421","ENSG00000027847"
"422","ENSG00000027869"
"423","ENSG00000028116"
"424","ENSG00000028137"
"425","ENSG00000028203"
"426","ENSG00000028277"
"427","ENSG00000028310"
"428","ENSG00000028528"
"429","ENSG00000028839"
"430","ENSG00000029153"
"431","ENSG00000029363"
"432","ENSG00000029364"
"433","ENSG00000029534"
"434","ENSG00000029559"
"435","ENSG00000029639"
"436","ENSG00000029725"
"437","ENSG00000029993"
"438","ENSG00000030066"
"439","ENSG00000030110"
"440","ENSG00000030419"
"441","ENSG00000030582"
"442","ENSG00000031003"
"443","ENSG00000031081"
"444","ENSG00000031691"
"445","ENSG00000031698"
"446","ENSG00000031823"
"447","ENSG00000032219"
"448","ENSG00000032389"
"449","ENSG00000032444"
"450","ENSG00000032742"
"451","ENSG00000033011"
"452","ENSG00000033030"
"453","ENSG00000033050"
"454","ENSG00000033100"
"455","ENSG00000033122"
"456","ENSG00000033170"
"457","ENSG00000033178"
"458","ENSG00000033327"
"459","ENSG00000033627"
"460","ENSG00000033800"
"461","ENSG00000033867"
"462","ENSG00000034053"
"463","ENSG00000034063"
"464","ENSG00000034152"
"465","ENSG00000034239"
"466","ENSG00000034510"
"467","ENSG00000034533"
"468","ENSG00000034677"
"469","ENSG00000034693"
"470","ENSG00000034713"
"471","ENSG00000035115"
"472","ENSG00000035141"
"473","ENSG00000035403"
"474","ENSG00000035499"
"475","ENSG00000035664"
"476","ENSG00000035681"
"477","ENSG00000035687"
"478","ENSG00000035862"
"479","ENSG00000035928"
"480","ENSG00000036054"
"481","ENSG00000036257"
"482","ENSG00000036448"
"483","ENSG00000036530"
"484","ENSG00000036549"
"485","ENSG00000036672"
"486","ENSG00000036828"
"487","ENSG00000037042"
"488","ENSG00000037241"
"489","ENSG00000037280"
"490","ENSG00000037474"
"491","ENSG00000037637"
"492","ENSG00000037749"
"493","ENSG00000037757"
"494","ENSG00000037897"
"495","ENSG00000037965"
"496","ENSG00000038002"
"497","ENSG00000038210"
"498","ENSG00000038219"
"499","ENSG00000038274"
"500","ENSG00000038295"
"501","ENSG00000038358"
"502","ENSG00000038382"
"503","ENSG00000038427"
"504","ENSG00000038532"
"505","ENSG00000038945"
"506","ENSG00000039068"
"507","ENSG00000039123"
"508","ENSG00000039139"
"509","ENSG00000039319"
"510","ENSG00000039523"
"511","ENSG00000039560"
"512","ENSG00000039650"
"513","ENSG00000040199"
"514","ENSG00000040275"
"515","ENSG00000040341"
"516","ENSG00000040487"
"517","ENSG00000040531"
"518","ENSG00000040608"
"519","ENSG00000040633"
"520","ENSG00000040731"
"521","ENSG00000040933"
"522","ENSG00000041353"
"523","ENSG00000041357"
"524","ENSG00000041802"
"525","ENSG00000041880"
"526","ENSG00000041982"
"527","ENSG00000041988"
"528","ENSG00000042062"
"529","ENSG00000042088"
"530","ENSG00000042286"
"531","ENSG00000042317"
"532","ENSG00000042429"
"533","ENSG00000042445"
"534","ENSG00000042493"
"535","ENSG00000042753"
"536","ENSG00000042781"
"537","ENSG00000042832"
"538","ENSG00000042980"
"539","ENSG00000043039"
"540","ENSG00000043093"
"541","ENSG00000043143"
"542","ENSG00000043462"
"543","ENSG00000043514"
"544","ENSG00000043591"
"545","ENSG00000044090"
"546","ENSG00000044115"
"547","ENSG00000044446"
"548","ENSG00000044459"
"549","ENSG00000044524"
"550","ENSG00000044574"
"551","ENSG00000046604"
"552","ENSG00000046647"
"553","ENSG00000046651"
"554","ENSG00000046653"
"555","ENSG00000046889"
"556","ENSG00000047056"
"557","ENSG00000047188"
"558","ENSG00000047230"
"559","ENSG00000047249"
"560","ENSG00000047315"
"561","ENSG00000047346"
"562","ENSG00000047365"
"563","ENSG00000047410"
"564","ENSG00000047578"
"565","ENSG00000047579"
"566","ENSG00000047597"
"567","ENSG00000047617"
"568","ENSG00000047621"
"569","ENSG00000047634"
"570","ENSG00000047644"
"571","ENSG00000047648"
"572","ENSG00000047662"
"573","ENSG00000047849"
"574","ENSG00000047932"
"575","ENSG00000048028"
"576","ENSG00000048052"
"577","ENSG00000048140"
"578","ENSG00000048162"
"579","ENSG00000048342"
"580","ENSG00000048392"
"581","ENSG00000048405"
"582","ENSG00000048471"
"583","ENSG00000048544"
"584","ENSG00000048649"
"585","ENSG00000048707"
"586","ENSG00000048740"
"587","ENSG00000048828"
"588","ENSG00000048991"
"589","ENSG00000049089"
"590","ENSG00000049130"
"591","ENSG00000049167"
"592","ENSG00000049192"
"593","ENSG00000049239"
"594","ENSG00000049245"
"595","ENSG00000049246"
"596","ENSG00000049249"
"597","ENSG00000049283"
"598","ENSG00000049323"
"599","ENSG00000049449"
"600","ENSG00000049540"
"601","ENSG00000049541"
"602","ENSG00000049618"
"603","ENSG00000049656"
"604","ENSG00000049759"
"605","ENSG00000049768"
"606","ENSG00000049769"
"607","ENSG00000049860"
"608","ENSG00000049883"
"609","ENSG00000050030"
"610","ENSG00000050130"
"611","ENSG00000050165"
"612","ENSG00000050327"
"613","ENSG00000050344"
"614","ENSG00000050393"
"615","ENSG00000050405"
"616","ENSG00000050426"
"617","ENSG00000050438"
"618","ENSG00000050555"
"619","ENSG00000050628"
"620","ENSG00000050730"
"621","ENSG00000050748"
"622","ENSG00000050767"
"623","ENSG00000050820"
"624","ENSG00000051009"
"625","ENSG00000051108"
"626","ENSG00000051128"
"627","ENSG00000051180"
"628","ENSG00000051341"
"629","ENSG00000051382"
"630","ENSG00000051523"
"631","ENSG00000051596"
"632","ENSG00000051620"
"633","ENSG00000051825"
"634","ENSG00000052126"
"635","ENSG00000052344"
"636","ENSG00000052723"
"637","ENSG00000052749"
"638","ENSG00000052795"
"639","ENSG00000052802"
"640","ENSG00000052841"
"641","ENSG00000053108"
"642","ENSG00000053254"
"643","ENSG00000053328"
"644","ENSG00000053371"
"645","ENSG00000053372"
"646","ENSG00000053438"
"647","ENSG00000053501"
"648","ENSG00000053524"
"649","ENSG00000053702"
"650","ENSG00000053747"
"651","ENSG00000053770"
"652","ENSG00000053900"
"653","ENSG00000053918"
"654","ENSG00000054116"
"655","ENSG00000054118"
"656","ENSG00000054148"
"657","ENSG00000054179"
"658","ENSG00000054219"
"659","ENSG00000054267"
"660","ENSG00000054277"
"661","ENSG00000054282"
"662","ENSG00000054356"
"663","ENSG00000054392"
"664","ENSG00000054523"
"665","ENSG00000054598"
"666","ENSG00000054611"
"667","ENSG00000054654"
"668","ENSG00000054690"
"669","ENSG00000054793"
"670","ENSG00000054965"
"671","ENSG00000054967"
"672","ENSG00000054983"
"673","ENSG00000055044"
"674","ENSG00000055070"
"675","ENSG00000055118"
"676","ENSG00000055130"
"677","ENSG00000055147"
"678","ENSG00000055163"
"679","ENSG00000055208"
"680","ENSG00000055211"
"681","ENSG00000055332"
"682","ENSG00000055483"
"683","ENSG00000055609"
"684","ENSG00000055732"
"685","ENSG00000055813"
"686","ENSG00000055917"
"687","ENSG00000055950"
"688","ENSG00000056050"
"689","ENSG00000056097"
"690","ENSG00000056277"
"691","ENSG00000056291"
"692","ENSG00000056487"
"693","ENSG00000056558"
"694","ENSG00000056586"
"695","ENSG00000056661"
"696","ENSG00000056736"
"697","ENSG00000056972"
"698","ENSG00000056998"
"699","ENSG00000057019"
"700","ENSG00000057252"
"701","ENSG00000057294"
"702","ENSG00000057593"
"703","ENSG00000057608"
"704","ENSG00000057657"
"705","ENSG00000057663"
"706","ENSG00000057704"
"707","ENSG00000057757"
"708","ENSG00000057935"
"709","ENSG00000058056"
"710","ENSG00000058063"
"711","ENSG00000058085"
"712","ENSG00000058091"
"713","ENSG00000058262"
"714","ENSG00000058272"
"715","ENSG00000058404"
"716","ENSG00000058453"
"717","ENSG00000058600"
"718","ENSG00000058668"
"719","ENSG00000058673"
"720","ENSG00000058729"
"721","ENSG00000058799"
"722","ENSG00000058804"
"723","ENSG00000058866"
"724","ENSG00000059122"
"725","ENSG00000059145"
"726","ENSG00000059377"
"727","ENSG00000059378"
"728","ENSG00000059573"
"729","ENSG00000059588"
"730","ENSG00000059691"
"731","ENSG00000059728"
"732","ENSG00000059758"
"733","ENSG00000059769"
"734","ENSG00000059804"
"735","ENSG00000059915"
"736","ENSG00000060069"
"737","ENSG00000060138"
"738","ENSG00000060140"
"739","ENSG00000060237"
"740","ENSG00000060339"
"741","ENSG00000060491"
"742","ENSG00000060558"
"743","ENSG00000060642"
"744","ENSG00000060656"
"745","ENSG00000060688"
"746","ENSG00000060709"
"747","ENSG00000060749"
"748","ENSG00000060762"
"749","ENSG00000060971"
"750","ENSG00000060982"
"751","ENSG00000061273"
"752","ENSG00000061337"
"753","ENSG00000061455"
"754","ENSG00000061656"
"755","ENSG00000061676"
"756","ENSG00000061794"
"757","ENSG00000061918"
"758","ENSG00000061936"
"759","ENSG00000061938"
"760","ENSG00000061987"
"761","ENSG00000062038"
"762","ENSG00000062194"
"763","ENSG00000062282"
"764","ENSG00000062370"
"765","ENSG00000062485"
"766","ENSG00000062524"
"767","ENSG00000062582"
"768","ENSG00000062598"
"769","ENSG00000062650"
"770","ENSG00000062716"
"771","ENSG00000062725"
"772","ENSG00000062822"
"773","ENSG00000063046"
"774","ENSG00000063127"
"775","ENSG00000063169"
"776","ENSG00000063176"
"777","ENSG00000063177"
"778","ENSG00000063180"
"779","ENSG00000063241"
"780","ENSG00000063244"
